WB_Code,Global_Peace_Index_Score,Year
ISL,1.112,2024
IRL,1.303,2024
AUT,1.313,2024
NZL,1.313,2024
SGP,1.339,2024
CHE,1.35,2024
PRT,1.372,2024
DNK,1.382,2024
SVN,1.395,2024
CZE,1.406,2024
JPN,1.336,2024
FIN,1.439,2024
CAN,1.35,2024
HUN,1.411,2024
SWE,1.339,2024
NOR,1.465,2024
DEU,1.458,2024
NLD,1.49,2024
BEL,1.495,2024
POL,1.654,2024
ESP,1.471,2024
HRV,1.501,2024
AUS,1.525,2024
ITA,1.537,2024
ROU,1.607,2024
FRA,1.653,2024
BGR,1.683,2024
GBR,1.693,2024
KOR,1.769,2024
GRC,1.802,2024
BRA,2.023,2024
CHN,1.888,2024
USA,1.953,2024
IND,2.319,2024
TUR,2.37,2024
ISR,3.38,2024
RUS,3.093,2024
UKR,3.043,2024
SYR,3.566,2024
AFG,3.448,2024
MEX,2.557,2024
COL,2.764,2024
ZAF,2.407,2024
EGY,2.85,2024
IRN,2.571,2024
PAK,3.072,2024
VEN,2.996,2024
