WB_Code,Refugees_Received,Year,Refugees_Produced
AFG,0.0,2023,6100000.0
ARG,190000.0,2023,0.0
AUS,95000.0,2023,0.0
AUT,180000.0,2023,0.0
BDI,0.0,2023,300000.0
BEL,120000.0,2023,0.0
BGD,950000.0,2023,65000.0
BGR,25000.0,2023,0.0
BRA,420000.0,2023,0.0
CAF,0.0,2023,750000.0
CAN,250000.0,2023,0.0
CHE,130000.0,2023,0.0
CHL,480000.0,2023,0.0
CHN,0.0,2023,230000.0
COD,0.0,2023,1100000.0
COL,2500000.0,2023,430000.0
CYP,20000.0,2023,0.0
CZE,80000.0,2023,0.0
DEU,2600000.0,2023,0.0
DNK,45000.0,2023,0.0
ECU,480000.0,2023,0.0
EGY,390000.0,2023,0.0
ERI,0.0,2023,600000.0
ESP,210000.0,2023,0.0
ETH,900000.0,2023,850000.0
FIN,40000.0,2023,0.0
FRA,630000.0,2023,0.0
GBR,370000.0,2023,0.0
GRC,130000.0,2023,0.0
HRV,12000.0,2023,0.0
HUN,40000.0,2023,0.0
IND,0.0,2023,85000.0
IRN,3400000.0,2023,0.0
IRQ,0.0,2023,450000.0
ITA,350000.0,2023,0.0
JOR,750000.0,2023,0.0
JPN,20000.0,2023,0.0
KEN,640000.0,2023,0.0
KOR,8000.0,2023,0.0
LBN,1500000.0,2023,0.0
MEX,130000.0,2023,0.0
MMR,0.0,2023,1300000.0
NGA,0.0,2023,360000.0
NLD,140000.0,2023,0.0
NOR,70000.0,2023,0.0
NZL,45000.0,2023,0.0
PAK,1700000.0,2023,70000.0
PER,500000.0,2023,0.0
POL,970000.0,2023,0.0
ROU,110000.0,2023,0.0
RUS,1200000.0,2023,250000.0
SDN,1100000.0,2023,1800000.0
SOM,0.0,2023,900000.0
SSD,0.0,2023,2400000.0
SVK,15000.0,2023,0.0
SWE,420000.0,2023,0.0
SYR,0.0,2023,6500000.0
TCD,580000.0,2023,0.0
TUR,3400000.0,2023,0.0
UGA,1500000.0,2023,0.0
UKR,450000.0,2023,6000000.0
USA,780000.0,2023,0.0
VEN,0.0,2023,5600000.0
VNM,0.0,2023,75000.0
YEM,0.0,2023,400000.0
ZAF,260000.0,2023,0.0
